path,transcription
./data/1692530001326214-1.mp3," So my favorite TV show would be the Firefly. It's an old sci-fi series about a group of interesting and different characters coming together on a journey first place. I really like it mainly because it's a sci-fi series which I genuinely enjoy and because of the cast of the aforementioned characters, the show is not really popular in my country because I don't think it has ever been translated to Russian, so I have only seen it in English and yeah, that's about it."
./data/1647885061811312-1.mp3," Yeah, I would be happy to go to the past and meet my ancestors in order to ask them about things that I have in the current time. I think there are several benefits of going to the past, a lot of them going to the future. And one of them is that I can go to the past rather than going to the future. And one of them is the ability to see things that we miss, our parents, our grandfathers, and people that we just saw in their family and bones. And to see them, it's a great pleasure that we can, in this occasion, ask them questions that we always want to ask them. Yeah, that's the reasons."
./data/1667330281849843-1.mp3," I would much rather be a first version me than a second version someone else. Why is this? Because I feel that throughout the years the accomplishments I've made, the studies, my academic degrees, my studies in Israel and abroad, my skills, professional experiences and maybe possibly personal challenges have definitely been something that has made me who I am today. I am proud of what I feel I have accomplished and honored and thank God for who I am today."
./data/1691402791754105-1.mp3," My advice to a worker in my office is if you don't understand something, do ask. Don't start working on doing something without asking or understanding what you're doing."
./data/1691402791754221-1.mp3, I'm working in the production in my job. I am team leader in production. It's a very hard worker and very interested.
./data/1691402791754513-1.mp3, I prepared to live in this country. I don't understand the second question. ok the country are different more optional things to do. What's the most important to you in choosing a place to live? The most important to me to choose a place to live is to live in a quiet place in a big garden and not a lot of people. The most important is a quite quite quite place. Country is a small place and city is a big place. this is the this advance of each
./data/1691402791754332-1.mp3, I think that the internet is the most important type of technology because it's making a globalization and a relationship between peoples all over the world.
./data/1691402791754106-1.mp3," I prefer to live in the country because I think the advantages of the country is that it's a quiet place, it's close to nature, you live a more subtle life, more relaxed life."
./data/1693136790972964-1.mp3," I have a wife, her name is Havacellet. Now she is not working. She ends the academy school. I have two daughters. One is Sapir, now he is ending the school and she is before the army. And the second daughter is Koran. Now he is learning in the school. She is in class nine. That's it. Sapir is now working in the restaurant before the arame. My wife, now looking for a job. And the career started, will start school in a few days"
./data/1691402791754257-1.mp3," Okay. My favorite book is the biography of Van Gogh artist. This is a biography about the life of Vincent Van Gogh. The life, the story talk about his entire life, since he was a teenager until he was really older. The story tells all about his adventures and things that happened in his life and how his brother supported him for making art. I really like the story because I feel like his brother was very helpful for him and it's like, it makes me very enthusiastic or really admire his brother."
./data/1691402791754118-1.mp3, My favorite social media platform is the Instagram application. I'm using it to follow people that are interesting to me. I like it because it's fun and a lot of time I see things that I didn't know that exist.
./data/1691402791754235-1.mp3, My favorite place is the sea. What I like about the sea is it's quiet and I like the sand and the sun. Basically I like to swim in the sea and enjoy the warmth of the sun.
./data/1691402791754686-1.mp3, My favorite animal is a dog because the dogs have a good weather. They like you and they are always happy to see you.
./data/1691402791754549-1.mp3, I help that people to share your document at the master control system and I check that document and help the people to update the document.
./data/1693129845983651-1.mp3," Recently, the Israeli situation regarding politics and government and the Supreme Court is very interesting since it has a dramatic influence to change the democracy and the life of millions of people in Israel. I think it is very interesting, again, since it can affect our life dramatically. The situation with the government is very complicated, since most of the people who vote to the Likud did not know about the effect on the law and the democracy. And now the government start to progress laws that are not favorable with people, with public, because it's possess a dictatorial environment and people did not know it when they voted in Likud. So now we are kind of stuck with the government for four years that are not representing what people want to see in the street. There is no... They are not handling the situation of the economic and the security in Israel, which is the most important two aspects. And they are more focused in law and government since the the primary ministry, Benjamin Netanyahu, is under attack."
./data/1691402791754115-1.mp3," I use my cell phone a lot. I use it for emails and Facebook and Instagram and I want to be in contact with my friends. I have all my calendars in my cell phone. I have the birthdays of my children and I have notes and I make list of the things that I have to do or not to do. And before I'm going shopping, I have also the list of the things that I have to buy. I have a lot of photos, so I have after each trip I make an album on the photos that I do during my trip."
./data/1691402791754724-1.mp3," The advice that I can give to a new worker in my office is to be very useful and helpful to the client that he will work with them. He has to be friendly with the workers, the colleagues and also outsiders from the company. He must be useful and to be sufficient in his work. He works all the days."
./data/1691402791754343-1.mp3, The work place can be more healthy if we think about the ergonomics of the staff of workers such as the table and the chair and the keyboard and the place of the computer. Some of the problems is that the workers sit all the time and don't move. They don't eat good and such of that. It can affect of his life and his ability to work and his efficiency in the work and that's all.
./data/1691402791754497-1.mp3," Hello, I'm Orly. I work at Protalix as QA coordinator. What we are doing, we are taking control about QC, quality control and we are... That's it."
./data/1661070908438977-1.mp3, The thing that's interesting about my area of work is that I can help youth to get the job that they dream and good for them.
./data/1686572883109872-1.mp3," So the most interesting thing in the news right now for me is sports news because now I love basketball. I do play basketball myself. And now it's the time when NBA, so National Basketball Association finals are going and only two teams are left. So it's, finals. And Denver Nuggets are playing against the Miami Heat. And now Denver Nuggets are up 3-1 in the series and they are playing until some team wins four times. So the Nuggets need only one win and Miami team will need three more wins in case if they would want to win the championship. But most likely the Denver Nuggets gonna be NBA champions 2023."
./data/1655476060404937-1.mp3," No, I don't want to be on a reality show and the main reason why is because I really want to I really take care of my privacy and I don't want the people all around me especially outside of my neighborhood or my city or at work I don't want them to know know about me anymore than what I want to give or to show. I prefer to live it like that and to make my friend on my way."
./data/1668069779915833-1.mp3," So to learn another language, you should learn a lot of words. You can read a lot of books. You can use dictionary. There's a lot of movies and series that you can see scenes and to learn from that how to talk correctly. And you just need to repeat it all the time and then it goes into your brain. You should do it that way because it's more fun and it's an easy way and there's a lot of things that you can learn with."
./data/1672742272786776-1.mp3," My goals for the three or five years from now is to get my business larger, to get greater customers, regular customers, expand the construction side of my business. And we're doing a lot of partnerships with other companies to make this happen and we work out and advertise ourselves and that's it."
./data/1659856072110825-1.mp3," Health and well-being is important at the workplace because health and well-being provide a safe environment and a productive environment for those who are at work with you. You wouldn't want your co-workers to not be involved in healthy habits because you want to be influenced by good people who are going to be around you. When I was beginning a job one time, somebody started smoking around me and that was something which was very hard for me. My employer brings in a dog to the office and I happen to be allergic. These are unhealthy habits for me and therefore I would rather that workplace habits be healthy and safe for all."
./data/1692746758560491-1.mp3," In the holiday, I prefer to live in the hotel because it makes me feel happy and feel fresh and the important things that I choose to I choose the place to stay is that will be a good quality and a good survive also have a very fresh environment and"
./data/1692746758560864-1.mp3," My best friend is Nam Per and he handsome and he smart and study and sometimes he hang out with me and play football with me like playing game also or hang out speaking at the market or math I like it because he is my best friend, he can tell me about his problem, sometimes I tell about myself and he can't keep it and don't say anything."
./data/1692747394818610-1.mp3," Well, I like watching soccer twice a week because in the free time I always watch soccer like Miami vs Real Madrid or something like that. I usually watch soccer twice a week and"
./data/1692747394818154-1.mp3, the famous person that i love and really like victim i think that is talospeak because they put out a special for her in scene it's good and he have a lot of hair and i like her because she has a beautiful face and a beautiful sound she is very friendly for singing and dancing because for the song that she write and the meaning is good for listener the meaning is very clear and one more thing she use a full-muscle form
./data/1692747394818624-1.mp3," I usually do my homework at home and just spend my holiday till sometime I go to with my family go to go to the province with my family to enjoy our holidays. Mostly when we have free time from work or from school, we always make a plan for our holiday and we also go to the four lakes in the Green Provin to enjoy our free time. Mostly we spend I was my family"
./data/1692746039457809-1.mp3, Talk about one of your favorite relatives. Who are they? Why is this? Why do you describe them? Talk about one of your favorite relatives. Who are they? Why is this? Why do you describe them?
./data/1692746758560299-1.mp3, I live in Phnom Penh in Tuoc Co and I really like it so much because there's a lot of people in there and there's a lot of places to have to eat some food too.
./data/1692746758560944-1.mp3, I think people always trust their first impressions or the person
./data/1689922058528855-1.mp3," I think it's good so you can socialise and you know, it depends on what you're doing, homework and stuff. And I think it's also good to have your downtime, so not all the time."
./data/1692746758560938-1.mp3, you
./data/1692746039457978-1.mp3, I like mobile 3 because it is interesting. I always spend 1 hour a day for reading. My friend and I like
./data/1692747862784414-1.mp3, The area I live in is in a small village in town in a town of the city and The village is Not really that big but it's really peaceful and I do like where I'm living right now because it's not quiet and also not too loud and I am not the type of person who likes to live in big city or busy places so I really like where I'm living it's really peaceful and calm for me
./data/1692748253740588-1.mp3," Okay, so talking about my favorite TV show it's gonna be the"
./data/1692748253740505-1.mp3," One of my favorite stories is listening to my friends talking about her daily life at her workplace. There's many types of stories that she has told me whenever we meet. and we normally meet at a coffee shop for a few hours in order to talk to each other and she always tells me about her story, her daily life, something that she has encountered and many things else. I really love to listen to those stories because some stories could be my inspirations for my everyday life. Because it's really good to listen to one story."
./data/1692748253740198-1.mp3," So I'm currently living in the Khmer town which is about only 10 kilometers from the center of the plumpin city in Cambodia. There are a lot of interesting things around and inside the town and most importantly the more interesting ones for me are the shops. So there are different kind of shops that sells various things like clothes, shoes, and we also have other things like even the brand new clothes. We mean about fashions. We got like car accessories, other things like foods and merchandise. So there are various things there. What I like about my neighborhood is the traffic. The reason why I sold my house to come to live in the Khmelnytskyi is because I hated the traffic in my previous area that I got stuck almost every day, especially during hours but now coming to live in a new place I really enjoy the light traffic even in rush hours I can actually reach home in less than 20 minutes and what I really"
